Lat,Long_,Deaths,Case_Fatality_Ratio,Confirmed_Cases
33.93911,67.709953,165.0,3.779216715,4365.984076676587
41.1533,20.1683,165.0,1.077233702,15317.010570098186
28.0339,1.6596,165.0,2.536905131,6503.9877914141825
42.5063,1.5218,165.0,0.3455425017,47751.00000382963
-11.2027,17.8739,82.5,1.836433703,4492.402849350234
-71.9499,23.347,0.0,0.0,
17.0608,-61.7964,146.0,1.603338458,9106.00000090561
-38.4161,-63.6167,143.33333333333334,1.306452816,10971.18331239705
40.0691,45.0382,140.66666666666666,1.954365257,7197.562797580302
-35.4735,149.0124,138.0,0.06136005905,224901.99999245274
-33.8688,151.2093,111.0,0.1517344365,73154.12543150678
-12.4634,130.8456,84.0,0.08155181453,103001.99999731385
-27.4698,153.0251,77.53846153846153,0.1379317464,56215.09446679603
-34.9285,138.6007,71.07692307692308,0.1339840356,53048.79999966435
-42.8821,147.3272,64.61538461538461,0.07992749434,80842.50000446668
-37.8136,144.9631,58.15384615384615,0.2274631995,25566.265787906566
-31.9505,115.8605,51.69230769230769,0.06666162258,77544.3286431743
47.5162,14.5501,45.230769230769226,0.3755247962,12044.682451989098
40.1431,47.5769,38.76923076923077,1.210895153,3201.700054144222
25.025885,-78.035889,32.30769230769231,2.221866581,1454.078862518897
26.0275,50.55,25.846153846153847,0.2201867939,11738.28520246865
23.685,90.3563,19.384615384615387,1.445115079,1341.3890468867903
13.1939,-59.5432,12.92307692307692,0.5383120883,2400.6663056533334
53.7098,27.9534,6.461538461538453,0.716069925,902.3613806345035
51.2195,4.4024,0.0,0.0,
50.8503,4.3517,0.0,0.0,
51.0362,3.7373,0.0,0.0,
50.9167,4.5833,0.0,0.0,
50.5257,4.0621,0.0,0.0,
50.4496,5.8492,0.0,0.0,
50.9739,5.342,0.0,0.0,
50.0547,5.4677,0.0,0.0,
50.331,4.8221,0.0,0.0,
50.4,4.35,0.0,0.0,
51.0536,3.1458,0.0,0.0,
17.1899,-88.4976,81.5,0.9804200986,8312.763081497276
9.3077,2.3158,163.0,0.5825173326,27981.999998603987
27.5142,90.4336,21.0,0.03358334266,62531.000003797715
-16.2902,-63.5887,21.485714285714284,1.911955614,1123.7559140174833
43.9159,17.6791,21.97142857142857,4.046796224,542.9339001831729
-22.3285,24.6849,22.457142857142856,0.8766395079,2561.7306378238873
-9.0238,-70.812,22.942857142857143,1.281495581,1790.3188651617477
-9.5713,-36.782,23.428571428571427,2.147980606,1090.7254638672202
0.902,-52.003,23.914285714285715,1.185920074,2016.517490392503
-3.4168,-65.8561,24.4,2.307380899,1057.476033132404
-12.5797,-41.7007,24.885714285714286,1.764454247,1410.391588675424
-5.4984,-39.3206,25.37142857142857,1.948989363,1301.773578300877
-15.7998,-47.8645,25.857142857142858,1.330521981,1943.3833658057288
-19.1834,-40.3089,26.34285714285714,1.139888485,2311.0030050752853
-15.827,-49.8362,26.82857142857143,1.518395536,1766.9026806577378
-4.9609,-45.2744,27.314285714285713,2.257149344,1210.1231044765868
-12.6819,-56.9211,27.8,1.738421132,1599.1522127907497
-20.7722,-54.7852,28.285714285714285,1.831662749,1544.2643194636637
-18.5122,-44.555,28.771428571428572,1.575934627,1825.6739891678624
-1.9981,-54.9306,29.257142857142856,2.201247277,1329.1165950704255
-7.24,-36.782,29.74285714285714,1.502104601,1980.078958752696
-25.2521,-52.0215,30.228571428571428,1.595841327,1894.2090869019978
-8.8137,-36.9541,30.714285714285715,2.007035244,1530.3311591615336
-7.7183,-42.7289,31.2,1.936156936,1611.4396214419262
-5.4026,-36.9541,31.685714285714283,1.490814477,2125.3962028512206
-30.0346,-51.2177,32.17142857142857,1.428141344,2252.6781894935866
-22.9068,-43.1729,32.65714285714286,2.828309555,1154.6523540681833
-11.5057,-63.5806,33.14285714285714,1.564672716,2118.197422626825
-2.7376,-62.0751,33.628571428571426,1.202214722,2797.218401437229
-27.2423,-50.2189,34.114285714285714,1.153523126,2957.399374608265
-23.5505,-46.6333,34.6,2.806366526,1232.9109430091598
-10.5741,-37.3857,35.08571428571429,1.810760212,1937.6234386640197
-10.1753,-48.2982,35.57142857142857,1.166755771,3048.7467433686743
4.5353,114.7277,36.05714285714286,0.0843268283,42758.803555217855
42.7339,25.4858,36.542857142857144,2.948379381,1239.4218118043862
12.2383,-1.5616,37.028571428571425,1.79496501,2062.9132725306677
21.9162,95.956,37.51428571428571,3.075607231,1219.7359056828707
-3.3731,29.9189,38.0,0.0730053217,52051.00000264776
16.5388,-23.0418,36.22222222222222,0.6518265382,5557.033980581526
11.55,104.9167,34.44444444444444,2.204763038,1562.2742149963622
3.848,11.5021,32.666666666666664,1.584766882,2061.29160305526
53.9333,-116.5765,30.88888888888889,0.8596978285,3592.993708357249
53.7267,-127.6476,29.11111111111111,1.226342636,2373.8154620525734
53.7609,-98.8139,27.333333333333336,1.518497528,1800.0248817878444
46.5653,-66.4619,25.555555555555557,0.7480180467,3416.4356954084105
53.1355,-57.6604,23.77777777777778,0.5341840709,4451.233024922792
64.8255,-124.8457,22.0,0.1911215359,11511.000001334753
44.682,-63.7443,14.5,0.5011785876,2893.180267224968
70.2998,-83.1076,7.0,0.1982441235,3530.9999996040233
51.2538,-85.3232,44.5,0.9999543077,4450.203340026073
46.5107,-63.4168,82.0,0.1472727599,55679.00001037463
52.9399,-73.5491,65.33333333333333,1.375009322,4751.482938188642
52.9399,-106.4509,48.666666666666664,1.179923414,4124.561483332567
64.2823,-135.0,32.0,0.6414111044,4989.0000002313645
6.6111,20.9394,113.0,0.7361083968,15351.000000982463
15.4542,18.7322,194.0,2.535616259,7651.000000942966
-23.6509,-70.3975,183.0,1.073822507,17041.922553035107
-38.9489,-72.3311,172.0,0.9951012547,17284.673211657646
-18.594,-69.4785,161.0,1.125041409,14310.584367121726
-27.5661,-70.0503,150.0,0.623741379,24048.42857154744
-45.9864,-73.7669,139.0,0.6020658563,23087.175355570816
-37.4464,-72.1416,128.0,0.9531252518,13429.50464886634
-29.959,-71.3389,117.0,0.9348584742,12515.263350436237
-41.9198,-72.1416,106.0,1.058633972,10012.90368565652
-40.231,-72.3311,95.0,0.9578517448,9918.027556533401
-52.368,-70.9863,84.0,1.153759483,7280.546876337136
-35.5183,-71.6885,73.0,0.9694734104,7529.8609757518325
-33.4376,-70.6505,62.0,1.595105824,3886.8894506650613
-36.7226,-71.7622,51.0,0.8403141874,6069.158508176343
-34.5755,-71.0022,40.0,1.296169964,3086.015037453838
-19.9232,-69.5132,29.0,1.039217446,2790.561312420461
-33.0472,-71.6127,18.0,1.331342332,1352.0189035797894
31.8257,117.2264,7.0,0.3529411765,1983.3333331680556
40.1824,116.4142,20.0,0.0693000693,28860.000000028856
30.0572,107.874,9.0,0.068755525,13089.857142389646
26.0789,117.9874,2.0,0.0130701869,15302.000004299862
35.7518,104.2861,2.0,0.1279590531,1563.0000000367306
23.3417,113.4244,9.0,0.0125511853,71706.37501463707
